NYC Hate Crime Report,,,,,
Arrest Statistics involving Hate Crime Incidents ,,,,,
"by Arrestee Gender, Race, Age and Bias Motivation",,,,,
2nd Quarter 2021,,,,,
,,,,,
Number,Precinct,Gender,Race,Age,Bias-Motivation
1,005,FEMALE,BLACK,50,ANTI-ASIAN
2,006,MALE,WHITE HISPANIC,24,ANTI-MALE HOMOSEXUAL(GAY)
3,007,FEMALE,BLACK,14,ANTI-ASIAN
4,,FEMALE,BLACK,29,ANTI-ASIAN
5,,MALE,BLACK HISPANIC,31,ANTI-ASIAN
6,,FEMALE,WHITE,34,ANTI-ASIAN
7,,MALE,BLACK,38,ANTI-ASIAN
8,,MALE,BLACK,38,ANTI-ASIAN
9,,MALE,WHITE HISPANIC,41,ANTI-ASIAN
10,,MALE,BLACK,42,ANTI-ASIAN
11,,MALE,ASIAN / PACIFIC ISLANDER,23,ANTI-JEWISH
12,,MALE,UNKNOWN,25,ANTI-JEWISH
13,,MALE,UNKNOWN,37,ANTI-JEWISH
14,,MALE,UNKNOWN,37,ANTI-JEWISH
15,,MALE,BLACK,25,ANTI-MALE HOMOSEXUAL(GAY)
16,009,MALE,WHITE HISPANIC,58,ANTI-ASIAN
17,,MALE,BLACK,39,ANTI-WHITE
18,013,MALE,WHITE,32,ANTI-MALE HOMOSEXUAL(GAY)
19,014,MALE,WHITE HISPANIC,20,ANTI-ASIAN
20,,MALE,WHITE HISPANIC,35,ANTI-ASIAN
21,018,MALE,ASIAN / PACIFIC ISLANDER,23,ANTI-JEWISH
22,019,FEMALE,WHITE,44,ANTI-ASIAN
23,024,MALE,BLACK,55,ANTI-ASIAN
24,,MALE,BLACK,23,ANTI-GENDER NON CONFORMING
25,025,MALE,BLACK,49,ANTI-ASIAN
26,026,MALE,BLACK,54,ANTI-GENDER NON CONFORMING
27,,MALE,BLACK,60,ANTI-JEWISH
28,032,MALE,WHITE HISPANIC,14,ANTI-JEWISH
29,042,MALE,WHITE HISPANIC,25,ANTI-MALE HOMOSEXUAL(GAY)
30,050,MALE,BLACK,29,ANTI-JEWISH
31,,MALE,BLACK,29,ANTI-JEWISH
32,,MALE,BLACK,29,ANTI-JEWISH
33,,MALE,BLACK,29,ANTI-JEWISH
34,,MALE,BLACK,29,ANTI-JEWISH
35,,MALE,BLACK,29,ANTI-JEWISH
36,,MALE,BLACK,29,ANTI-JEWISH
37,,MALE,BLACK,29,ANTI-JEWISH
38,,MALE,BLACK,29,ANTI-JEWISH
39,,MALE,BLACK,29,ANTI-JEWISH
40,,MALE,BLACK,29,ANTI-JEWISH
41,,MALE,BLACK,29,ANTI-JEWISH
42,,MALE,BLACK,29,ANTI-JEWISH
43,060,MALE,BLACK,30,ANTI-HISPANIC
44,061,MALE,BLACK,20,ANTI-JEWISH
45,062,MALE,WHITE,28,ANTI-ASIAN
46,,MALE,WHITE,28,ANTI-ASIAN
47,,MALE,WHITE,28,ANTI-ASIAN
48,,MALE,ASIAN / PACIFIC ISLANDER,29,ANTI-CATHOLIC
49,066,MALE,ASIAN / PACIFIC ISLANDER,19,ANTI-JEWISH
50,,MALE,ASIAN / PACIFIC ISLANDER,19,ANTI-JEWISH
51,,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
52,,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
53,,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
54,,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
55,,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
56,,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
57,,MALE,ASIAN / PACIFIC ISLANDER,20,ANTI-JEWISH
58,,MALE,BLACK HISPANIC,29,ANTI-JEWISH
59,071,FEMALE,BLACK,15,ANTI-ASIAN
60,,FEMALE,BLACK,16,ANTI-ASIAN
61,072,MALE,BLACK HISPANIC,31,ANTI-ASIAN
62,,MALE,ASIAN / PACIFIC ISLANDER,29,ANTI-CATHOLIC
63,077,MALE,BLACK,35,ANTI-ASIAN
64,100,FEMALE,BLACK,56,ANTI-OTHER ETHNICITY
65,102,FEMALE,BLACK,55,ANTI-WHITE
66,110,MALE,WHITE HISPANIC,41,ANTI-JEWISH
67,,MALE,WHITE HISPANIC,41,ANTI-JEWISH
68,,MALE,WHITE,41,ANTI-JEWISH
69,,MALE,BLACK HISPANIC,19,ANTI-TRANSGENDER
70,,MALE,BLACK HISPANIC,19,ANTI-TRANSGENDER
71,112,MALE,WHITE,51,ANTI-BLACK
72,,MALE,WHITE,51,ANTI-BLACK
73,,MALE,WHITE,41,ANTI-JEWISH
74,114,MALE,WHITE HISPANIC,32,ANTI-ASIAN
75,,MALE,BLACK,43,ANTI-MALE HOMOSEXUAL(GAY)
76,115,MALE,WHITE HISPANIC,33,ANTI-TRANSGENDER
77,,MALE,WHITE HISPANIC,39,ANTI-TRANSGENDER
78,120,FEMALE,BLACK,25,ANTI-ASIAN
79,,MALE,WHITE,52,ANTI-ASIAN
80,122,MALE,ASIAN / PACIFIC ISLANDER,18,ANTI-BLACK
81,,MALE,ASIAN / PACIFIC ISLANDER,19,ANTI-BLACK
82,,MALE,ASIAN / PACIFIC ISLANDER,22,ANTI-BLACK
