NYC Hate Crime Report,,,,,
Arrest Statistics involving Hate Crime Incidents ,,,,,
"by Arrestee Gender, Race, Age and Bias Motivation",,,,,
3rd Quarter 2021,,,,,
,,,,,
Number,Precinct,Gender,Race,Age,Bias-Motivation
1,007,MALE,BLACK,21,ANTI-ASIAN
2,107,FEMALE,BLACK,25,ANTI-ASIAN
3,107,FEMALE,BLACK,25,ANTI-ASIAN
4,107,FEMALE,BLACK,25,ANTI-ASIAN
5,107,FEMALE,BLACK,25,ANTI-ASIAN
6,007,FEMALE,BLACK,31,ANTI-ASIAN
7,014,MALE,BLACK,35,ANTI-ASIAN
8,014,MALE,WHITE,36,ANTI-ASIAN
9,084,MALE,WHITE HISPANIC,38,ANTI-ASIAN
10,107,MALE,WHITE HISPANIC,39,ANTI-ASIAN
11,007,MALE,BLACK,47,ANTI-ASIAN
12,013,MALE,WHITE,47,ANTI-ASIAN
13,061,MALE,BLACK,52,ANTI-ASIAN
14,014,MALE,BLACK,55,ANTI-ASIAN
15,005,MALE,BLACK,58,ANTI-ASIAN
16,014,MALE,WHITE HISPANIC,63,ANTI-ASIAN
17,076,MALE,WHITE,48,ANTI-BLACK
18,030,MALE,BLACK,51,ANTI-BLACK
19,102,FEMALE,BLACK,23,ANTI-CATHOLIC
20,123,MALE,WHITE HISPANIC,36,ANTI-CATHOLIC
21,110,MALE,BLACK HISPANIC,55,ANTI-GENDER NON CONFORMING
22,103,MALE,BLACK,30,ANTI-ISLAMIC(MUSLIM)
23,103,MALE,BLACK,30,ANTI-ISLAMIC(MUSLIM)
24,103,MALE,BLACK,30,ANTI-ISLAMIC(MUSLIM)
25,103,MALE,BLACK,30,ANTI-ISLAMIC(MUSLIM)
26,079,MALE,WHITE HISPANIC,22,ANTI-JEWISH
27,007,MALE,ASIAN / PACIFEMALEIC ISLANDER,24,ANTI-JEWISH
28,007,MALE,ASIAN / PACIFEMALEIC ISLANDER,24,ANTI-JEWISH
29,007,MALE,ASIAN / PACIFEMALEIC ISLANDER,24,ANTI-JEWISH
30,090,MALE,BLACK,29,ANTI-JEWISH
31,047,MALE,BLACK,35,ANTI-JEWISH
32,068,FEMALE,WHITE,46,ANTI-JEWISH
33,025,MALE,ASIAN / PACIFEMALEIC ISLANDER,24,ANTI-MALE HOMOSEXUAL(GAY)
34,025,MALE,ASIAN / PACIFEMALEIC ISLANDER,30,ANTI-MALE HOMOSEXUAL(GAY)
35,025,MALE,ASIAN / PACIFEMALEIC ISLANDER,30,ANTI-MALE HOMOSEXUAL(GAY)
36,083,MALE,BLACK,31,ANTI-MALE HOMOSEXUAL(GAY)
37,014,MALE,WHITE HISPANIC,32,ANTI-MALE HOMOSEXUAL(GAY)
38,025,MALE,ASIAN / PACIFEMALEIC ISLANDER,32,ANTI-MALE HOMOSEXUAL(GAY)
39,079,MALE,BLACK,33,ANTI-MALE HOMOSEXUAL(GAY)
40,102,MALE,BLACK HISPANIC,33,ANTI-MALE HOMOSEXUAL(GAY)
41,102,MALE,BLACK HISPANIC,33,ANTI-MALE HOMOSEXUAL(GAY)
42,032,MALE,BLACK,34,ANTI-MALE HOMOSEXUAL(GAY)
43,007,MALE,BLACK,37,ANTI-MALE HOMOSEXUAL(GAY)
44,010,MALE,WHITE HISPANIC,39,ANTI-MALE HOMOSEXUAL(GAY)
45,007,MALE,BLACK HISPANIC,45,ANTI-MALE HOMOSEXUAL(GAY)
46,014,MALE,BLACK,46,ANTI-MALE HOMOSEXUAL(GAY)
47,019,FEMALE,WHITE,49,ANTI-MALE HOMOSEXUAL(GAY)
48,107,MALE,BLACK,57,ANTI-MALE HOMOSEXUAL(GAY)
49,081,MALE,BLACK,62,ANTI-MALE HOMOSEXUAL(GAY)
50,013,MALE,BLACK HISPANIC,53,ANTI-OTHER ETHNICITY
51,102,MALE,BLACK HISPANIC,33,ANTI-TRANSGENDER
52,104,MALE,BLACK,29,ANTI-WHITE
53,013,MALE,BLACK,35,ANTI-WHITE
54,103,MALE,BLACK,36,ANTI-WHITE
55,007,MALE,BLACK,53,ANTI-WHITE
